"set_id","spelling","meaning"
"39","chảo","フライパン"
"40","chị","あなた（年上女性）"
"40","chỉ","ただ、〜だけ"
"41","chợ","市場"
"41","cho","〜に、〜のために"
"41","chó","犬"
"41","chỗ","場所"
"41","chờ","待つ"
"42","chưa","まだ〜していない"
"42","chua","酸っぱい"
"43","cũ","古い"
"43","cứ","そのまま〜する、どうぞ〜"
"44","của","〜の"
"44","cửa","ドア"
"44","cua","カニ"
"45","cũng","〜も、また"
"45","cùng","一緒に、同じ"
"46","đã","すでに、過去を表す"
"46","đá","石"
"47","đang","〜している、進行中"
"47","đắng","苦い"
"48","dao","包丁、ナイフ"
"48","đảo","島"
"49","đặt","置く、注文する"
"49","đắt","高い"
"49","đất","土、土地"
"50","đâu","どこ"
"50","đầu","頭"
"50","đau","痛い、痛む"
"51","đây","ここ、こちら"
"51","dạy","教える"
"51","dày","厚い"
"52","để","〜するために、置く"
"52","dễ","簡単な"
"53","đêm","夜中"
"53","đem","持ってくる、持っていく"
"54","đến","来る"
"54","đèn","照明、ランプ"
"54","đen","黒い"
"55","đẹp","美しい"
"55","dép","サンダル"
"56","đó","それ、あそこ"
"56","do","〜によって、〜のために"
"56","đỏ","赤い"
"56","đỡ","楽になる、支える"
"57","đổi","交換する、変える"
"57","đói","お腹が空いた"
"57","đợi","待つ"
"58","dọn","片付ける"
"58","đón","迎える"
"59","đồng","ドン、ベトナム通貨"
"59","đóng","閉める、閉じる"
"60","đưa","渡す、連れて行く"
"60","dứa","パイナップル"
"60","đũa","箸"
"61","đúng","正しい、その通り"
"61","đừng","〜しないで"
"61","đứng","立つ"
"61","dừng","止まる"
"62","ga","駅"
"62","gà","鶏"
"63","gan","肝臓"
"63","gần","近い"
"64","giây","秒"
"64","giày","靴"
"65","giờ","時間、時刻"
"65","gió","風"
"66","hãy","〜しよう、〜してください"
"66","hay","よい、上手、よく"
"67","họ","彼ら"
"67","ho","咳をする、咳"
"67","hổ","トラ"
"67","hồ","湖"
"68","hỏi","尋ねる"
"68","hơi","少し、やや"
"69","họng","喉"
"69","hồng","ピンク"
"70","lưỡi","舌"
"70","lười","怠けた、怠惰な"
"71","mang","持っていく、持ってくる"
"71","mạng","ネットワーク、インターネット"
"72","mặt","顔"
"72","mát","涼しい"
"73","máu","血"
"73","màu","色"
"74","mẹ","母"
"74","mê","夢中になる"
"75","mới","新しい"
"75","mọi","すべての、毎〜"
"76","mùi","匂い、におい"
"76","mũi","鼻"
"77","muộn","遅い、遅く"
"77","muốn","欲しい、〜したい"
"78","năm","5"
"78","nằm","横になる"
"78","nam","男性、南"
"79","ngay","すぐに"
"79","ngày","日"
"80","nghĩ","考える、思う"
"80","nghỉ","休む、休暇"
"81","ngứa","かゆい"
"81","ngựa","馬"
"82","nhé","〜ね、〜しようね"
"82","nhẹ","軽い"
"83","nhỏ","小さい"
"83","nhớ","覚えている、思い出す"
"83","nho","ぶどう"
"84","nói","話す"
"84","nồi","鍋"
"84","nơi","場所"
"85","phở","フォー"
"85","phố","街、通り"
"86","quá","あまりに、〜すぎる"
"86","quà","プレゼント"
"87","quán","店、飲食店"
"87","quần","ズボン"
"87","quận","区、郡"
"88","sạch","きれい、清潔な"
"88","sách","本"
"89","sáu","6"
"89","sau","後、〜の後"
"90","sữa","牛乳、ミルク"
"90","sửa","修理する、直す"
"91","tại","〜で、〜に"
"91","tai","耳"
"91","tải","ダウンロードする、積む"
"92","tám","8"
"92","tắm","シャワーを浴びる"
"93","táo","りんご"
"93","tạo","作る、創造する"
"94","thì","〜なら、〜は"
"94","thi","試験を受ける"
"95","tiền","お金"
"95","tiễn","見送る"
"96","tim","心臓、心"
"96","tím","紫"
"97","trà","お茶"
"97","trả","返す、支払う"
"98","từ","〜から、言葉"
"98","tủ","戸棚、タンス"
"99","tuyệt","素晴らしい"
"99","tuyết","雪"
"100","vâng","はい"
"100","vàng","黄色、金色"
"101","về","〜について、戻る"
"101","vé","チケット、切符"
"102","vì","〜なので、〜のために"
"102","ví","財布"
"103","vợ","妻"
"103","vở","ノート"
"104","với","〜と、一緒に"
"104","voi","ゾウ"
